Sample,CARD Short name,Donor,Milieu,Tissue
ODIWGS41,ANT(4')-Ib,OD2,Mucosa,Jejunum
ODIWGS41,emrA,OD2,Mucosa,Jejunum
ODIWGS41,mphA,OD2,Mucosa,Jejunum
ODIWGS41,mdtA,OD2,Mucosa,Jejunum
ODIWGS41,Mrx,OD2,Mucosa,Jejunum
ODIWGS41,YajC,OD2,Mucosa,Jejunum
ODIWGS41,baeS,OD2,Mucosa,Jejunum
ODIWGS41,mdtH,OD2,Mucosa,Jejunum
ODIWGS41,H-NS,OD2,Mucosa,Jejunum
ODIWGS41,tet(B),OD2,Mucosa,Jejunum
ODIWGS42,bacA,OD3,Mucosa,DescendingColon
ODIWGS42,tet(B),OD3,Mucosa,DescendingColon
ODIWGS42,cpxA,OD3,Mucosa,DescendingColon
ODIWGS42,tet(O),OD3,Mucosa,DescendingColon
ODIWGS42,AcrE,OD3,Mucosa,DescendingColon
ODIWGS42,mdtO,OD3,Mucosa,DescendingColon
ODIWGS42,emrY,OD3,Mucosa,DescendingColon
ODIWGS42,CRP,OD3,Mucosa,DescendingColon
ODIWGS42,evgS,OD3,Mucosa,DescendingColon
ODIWGS42,Mrx,OD3,Mucosa,DescendingColon
ODIWGS42,APH(6)-Id,OD3,Mucosa,DescendingColon
ODIWGS42,mphA,OD3,Mucosa,DescendingColon
ODIWGS42,ANT(4')-Ib,OD3,Mucosa,DescendingColon
ODIWGS42,mdtF,OD3,Mucosa,DescendingColon
ODIWGS42,tet(W),OD3,Mucosa,DescendingColon
ODIWGS42,TolC,OD3,Mucosa,DescendingColon
ODIWGS42,Kpne_KpnF,OD3,Mucosa,DescendingColon
ODIWGS42,AcrF,OD3,Mucosa,DescendingColon
ODIWGS42,amrA,OD3,Mucosa,DescendingColon
ODIWGS43,ANT(4')-Ib,OD7,Lumen,AscendingColon
ODIWGS44,tet(M),OD7,Lumen,Ileum
ODIWGS44,qacE,OD7,Lumen,Ileum
ODIWGS44,vanS_in_vanA_cl,OD7,Lumen,Ileum
ODIWGS44,aadS,OD7,Lumen,Ileum
ODIWGS44,erm(45),OD7,Lumen,Ileum
ODIWGS44,tet(W/N/W),OD7,Lumen,Ileum
ODIWGS44,tet(W),OD7,Lumen,Ileum
ODIWGS44,LlmA_23S_CLI,OD7,Lumen,Ileum
ODIWGS44,tet(38),OD7,Lumen,Ileum
ODIWGS44,tet(Q),OD7,Lumen,Ileum
ODIWGS44,Paer_emrE,OD7,Lumen,Ileum
ODIWGS44,dfrF,OD7,Lumen,Ileum
ODIWGS44,tetB(P),OD7,Lumen,Ileum
ODIWGS44,tet(32),OD7,Lumen,Ileum
ODIWGS44,Saur_LmrS,OD7,Lumen,Ileum
ODIWGS44,nimJ,OD7,Lumen,Ileum
ODIWGS44,vanU_in_vanG_cl,OD7,Lumen,Ileum
ODIWGS44,SAT-4,OD7,Lumen,Ileum
ODIWGS44,tet(O/W/32/O),OD7,Lumen,Ileum
ODIWGS44,Erm(35),OD7,Lumen,Ileum
ODIWGS44,kdpD,OD7,Lumen,Ileum
ODIWGS44,vanA,OD7,Lumen,Ileum
ODIWGS44,tet(X1),OD7,Lumen,Ileum
ODIWGS44,mecA,OD7,Lumen,Ileum
ODIWGS44,TxR,OD7,Lumen,Ileum
ODIWGS44,msrA,OD7,Lumen,Ileum
ODIWGS44,mecR1,OD7,Lumen,Ileum
ODIWGS44,arlS,OD7,Lumen,Ileum
ODIWGS44,tet(O),OD7,Lumen,Ileum
ODIWGS44,mphC,OD7,Lumen,Ileum
ODIWGS44,APH(3')-IIIa,OD7,Lumen,Ileum
ODIWGS44,mepA,OD7,Lumen,Ileum
ODIWGS44,carA,OD7,Lumen,Ileum
ODIWGS44,ANT(4')-Ib,OD7,Lumen,Ileum
ODIWGS44,sdrM,OD7,Lumen,Ileum
ODIWGS44,vanH_in_vanA_cl,OD7,Lumen,Ileum
ODIWGS45,ANT(4')-Ib,OD8,Mucosa,Duodenum
ODIWGS45,LptD,OD8,Mucosa,Duodenum
ODIWGS46,tetB(P),OD7,Lumen,Jejunum
ODIWGS46,Mrx,OD7,Lumen,Jejunum
ODIWGS46,ANT(4')-Ib,OD7,Lumen,Jejunum
ODIWGS46,gadX,OD7,Lumen,Jejunum
ODIWGS46,TxR,OD7,Lumen,Jejunum
ODIWGS46,MexD,OD7,Lumen,Jejunum
ODIWGS46,LlmA_23S_CLI,OD7,Lumen,Jejunum
ODIWGS47,lsaA,OD2,Lumen,TransverseColon
ODIWGS47,qacE,OD2,Lumen,TransverseColon
ODIWGS47,Kpne_KpnE,OD2,Lumen,TransverseColon
ODIWGS47,qacG,OD2,Lumen,TransverseColon
ODIWGS47,efrA,OD2,Lumen,TransverseColon
ODIWGS47,qacL,OD2,Lumen,TransverseColon
ODIWGS47,mgrA,OD2,Lumen,TransverseColon
ODIWGS47,arlR,OD2,Lumen,TransverseColon
ODIWGS47,tet(W),OD2,Lumen,TransverseColon
ODIWGS47,qacJ,OD2,Lumen,TransverseColon
ODIWGS47,tet(38),OD2,Lumen,TransverseColon
ODIWGS47,abeS,OD2,Lumen,TransverseColon
ODIWGS47,Bsub_mprF,OD2,Lumen,TransverseColon
ODIWGS47,Saur_LmrS,OD2,Lumen,TransverseColon
ODIWGS47,efrB,OD2,Lumen,TransverseColon
ODIWGS47,lin,OD2,Lumen,TransverseColon
