Species1	Species2	Values
Saccharomyces cerevisiae	Actinomyces sp. oral taxon 169	-0.320138847318373
Saccharomyces cerevisiae	Cutibacterium acnes	0.0662211406598712
Saccharomyces cerevisiae	Gordonibacter urolithinfaciens	-0.456521257169921
Saccharomyces cerevisiae	Gordonibacter pamelaeae	-0.388476696949455
Saccharomyces cerevisiae	Bacteroides stercoris	-0.235294765255516
Saccharomyces cerevisiae	Bacteroides salyersiae	-0.276047667356976
Saccharomyces cerevisiae	Streptococcus lutetiensis	0.0769807258681667
Saccharomyces cerevisiae	Enterococcus avium	-0.141498955729077
Saccharomyces cerevisiae	Acidaminococcus intestini	-0.234076404624104
Saccharomyces cerevisiae	Faecalibacterium sp. IP118	-0.256867346575291
Saccharomyces cerevisiae	Ruthenibacterium lactatiformans	-0.335524391230816
Saccharomyces cerevisiae	Streptococcus agalactiae	-0.189333023734295
Saccharomyces cerevisiae	Actinomyces sp. HMT 175	-0.242580449710408
Saccharomyces cerevisiae	Bacteroides sp. KGMB07931	-0.0611720955591098
Candida tropicalis	Homo sapiens	0.209427477863727
Candida tropicalis	Saccharomyces cerevisiae	0.340588142250649
Candida tropicalis	Candida tropicalis	1
Candida tropicalis	Candida albicans	-0.0396814811803418
Candida tropicalis	Botrytis cinerea	0.343717488903597
Candida tropicalis	Aspergillus oryzae	0.132908962418067
Candida tropicalis	Toxoplasma gondii	0.288627012053127
Candida tropicalis	Trypanosoma brucei	0.341984146424318
Candida tropicalis	Leishmania infantum	0.191807098129611
Candida tropicalis	Staphylococcus aureus	0.015043845216852
Candida tropicalis	Streptococcus pneumoniae	0.0878582247246836
Candida tropicalis	Streptococcus thermophilus	-0.103034190259465
Candida tropicalis	Streptococcus sp. A12	-0.0976802596473083
Candida tropicalis	Streptococcus salivarius	-0.0237059147309057
Candida tropicalis	Streptococcus australis	-0.100028396937746
Candida tropicalis	Streptococcus parasanguinis	-0.0280889689558111
Candida tropicalis	Lactococcus piscium	-0.094361763421844
Candida tropicalis	Limosilactobacillus fermentum	-0.139840718865662
Candida tropicalis	Latilactobacillus sakei	-0.0929291480096711
Candida tropicalis	Leuconostoc carnosum	-0.0914877061880251
Candida tropicalis	Lactobacillus helveticus	-0.0936954702806015
Candida tropicalis	Enterococcus faecium	-0.0879703853691002
Candida tropicalis	Abiotrophia defectiva	-0.096224780564124
Candida tropicalis	Blautia wexlerae	-0.11930835300492
Candida tropicalis	Blautia massiliensis	-0.135298081655475
Candida tropicalis	Blautia sp. SC05B48	-0.144840938775086
Candida tropicalis	Blautia sp. NBRC 113351	-0.120541259143402
Candida tropicalis	Blautia obeum	-0.0965113996815665
Candida tropicalis	Blautia argi	-0.168226393792159
Candida tropicalis	Blautia producta	-0.189346257185868
Candida tropicalis	uncultured Blautia sp.	-0.216678532954744
Candida tropicalis	Anaerostipes hadrus	-0.111845835737675
Candida tropicalis	[Ruminococcus] torques	-0.155262451920476
Candida tropicalis	[Ruminococcus] gnavus	-0.122293851358327
Candida tropicalis	[Eubacterium] rectale	-0.0963492631262901
Candida tropicalis	Roseburia intestinalis	-0.113031857347939
Candida tropicalis	Roseburia hominis	-0.149603229188511
Candida tropicalis	Roseburia sp. NSJ-69	-0.11808302558758
Candida tropicalis	Anaerobutyricum hallii	-0.081530551002278
Candida tropicalis	Coprococcus comes	-0.110338753354259
Candida tropicalis	Coprococcus catus	-0.117926553324043
Candida tropicalis	[Clostridium] scindens	-0.0657576112248002
Candida tropicalis	[Clostridium] symbiosum	-0.136178533188685
Candida tropicalis	[Clostridium] hylemonae	-0.151649039453242
Candida tropicalis	Dorea longicatena	-0.0692651690620465
Candida tropicalis	Lachnospiraceae bacterium	-0.195901790376961
Candida tropicalis	Lachnospiraceae bacterium GAM79	-0.1823079772692
Candida tropicalis	Enterocloster bolteae	-0.124425366467574
Candida tropicalis	Enterocloster clostridioformis	-0.207369475265779
Candida tropicalis	Lachnospira eligens	-0.102133501572262
Candida tropicalis	Faecalicatena sp. Marseille-Q4148	-0.157378469538745
Candida tropicalis	Wansuia hejianensis	-0.168861112557955
Candida tropicalis	Oscillospiraceae bacterium	-0.154191199235212
Candida tropicalis	Ruminococcus sp. SR1/5	-0.131975052479357
Candida tropicalis	Faecalibacterium prausnitzii	-0.0969583990432897
Candida tropicalis	Faecalibacterium sp. IP329	-0.122219343425571
Candida tropicalis	Faecalibacterium sp. I2392	-0.0990247774523657
Candida tropicalis	Faecalibacterium sp. I4384	-0.0898349502272181
Candida tropicalis	[Eubacterium] siraeum	-0.114972583404342
Candida tropicalis	Flavonifractor plautii	-0.169014709570932
Candida tropicalis	Vescimonas coprocola	-0.0945596650164113
Candida tropicalis	Clostridium sp. M62/1	-0.176866030702086
Candida tropicalis	Eubacterium callanderi	-0.135091754719074
Candida tropicalis	Eubacterium sp. c-25	-0.169633289296912
Candida tropicalis	Eubacterium limosum	-0.141587741774588
Candida tropicalis	Clostridioides difficile	-0.14202958538238
Candida tropicalis	Mogibacterium diversum	0.271163438204097
Candida tropicalis	butyrate-producing bacterium SS3/4	-0.123869544295951
Candida tropicalis	uncultured Clostridia bacterium	-0.125190784109888
Candida tropicalis	Clostridia bacterium UC5.1-1D4	-0.117039565512795
Candida tropicalis	Erysipelatoclostridium ramosum	-0.145420589769208
Candida tropicalis	[Clostridium] innocuum	-0.141930851152215
Candida tropicalis	Erysipelotrichaceae bacterium 66202529	-0.0999545989687091
Candida tropicalis	Longicatena caecimuris	-0.122360319908179
Candida tropicalis	Faecalitalea cylindroides	-0.0310529554040862
Candida tropicalis	Parvimonas micra	0.220581260486734
Candida tropicalis	Lawsonella clevelandensis	-0.094120198642625
Candida tropicalis	Actinomyces graevenitzii	-0.0931306434027834
Candida tropicalis	Actinomyces naeslundii	-0.0994387859793707
Candida tropicalis	Actinomyces sp. oral taxon 414	-0.099280755422291
Candida tropicalis	Actinomyces pacaensis	-0.102556192595454
Candida tropicalis	Actinomyces oris	-0.133483546655844
Candida tropicalis	Schaalia odontolytica	-0.0642522432171541
Candida tropicalis	Pauljensenia hongkongensis	-0.0978728209137773
Candida tropicalis	Bifidobacterium longum	-0.145353152138989
Candida tropicalis	Eggerthella lenta	-0.190498541146544
Candida tropicalis	Adlercreutzia hattorii	-0.153957364989957
Candida tropicalis	Adlercreutzia equolifaciens	-0.0706222169727734
Candida tropicalis	Collinsella aerofaciens	-0.0914212139553893
Candida tropicalis	Lancefieldella parvula	-0.0259199029504236
Candida tropicalis	Escherichia coli	-0.0833681799194345
Candida tropicalis	Klebsiella pneumoniae	-0.104972439203842
Candida tropicalis	Salmonella enterica	-0.0465989497427238
Candida tropicalis	Polynucleobacter sp. MG-Unter2-18	0.362012013453369
Candida tropicalis	Bacteroides thetaiotaomicron	-0.11290073933167
Candida tropicalis	Bacteroides uniformis	-0.127290719653371
Candida tropicalis	Bacteroides ovatus	-0.127313770414256
Candida tropicalis	Bacteroides xylanisolvens	-0.162429684029677
Candida tropicalis	Bacteroides caccae	-0.125232404726253
Candida tropicalis	Bacteroides fragilis	-0.0338866138044541
Candida tropicalis	Phocaeicola dorei	-0.10482319169866
Candida tropicalis	Phocaeicola vulgatus	-0.116635194572854
Candida tropicalis	Parabacteroides distasonis	-0.127194921284445
Candida tropicalis	Parabacteroides merdae	-0.111191052738907
Candida tropicalis	Alistipes onderdonkii	-0.10668641115027
Candida tropicalis	Alistipes shahii	-0.115084540765856
Candida tropicalis	Akkermansia muciniphila	-0.109450544357874
Candida tropicalis	uncultured human fecal virus	-0.143864557016156
Candida tropicalis	Blautia pseudococcoides	-0.208219001069213
Candida tropicalis	Anaerostipes caccae	-0.126765359165302
Candida tropicalis	Lachnoclostridium sp. YL32	-0.210528977278563
Candida tropicalis	Lachnoclostridium phocaeense	-0.119520593597944
Candida tropicalis	Simiaoa sunii	-0.142827445269741
Candida tropicalis	Sellimonas intestinalis	-0.122409123377476
Candida tropicalis	Dysosmobacter welbionis	-0.159553206965518
Candida tropicalis	Clostridiaceae bacterium Marseille-Q4149	-0.0522460664897636
Candida tropicalis	Eubacterium sp. NSJ-61	-0.103932285866155
Candida tropicalis	Massilistercora timonensis	-0.1157264647669
Candida tropicalis	Clostridiales bacterium CCNA10	-0.226539719333988
Candida tropicalis	Geobacillus zalihae	-0.0688620371433442
Candida tropicalis	Streptococcus vestibularis	-0.0203230629676837
Candida tropicalis	Streptococcus sp. HSISM1	-0.0974239839435855
Candida tropicalis	Streptococcus sp. LPB0220	-0.113100440287738
Candida tropicalis	Streptococcus sp. HSISS3	-0.0524076599356908
Candida tropicalis	Streptococcus anginosus	-0.0192298974654407
Candida tropicalis	Streptococcus mitis	-0.0663570057687057
Candida tropicalis	Streptococcus sanguinis	-0.113913202001114
Candida tropicalis	Streptococcus oralis	-0.0541720879969007
Candida tropicalis	Lactococcus lactis	-0.00131886137054335
Candida tropicalis	Limosilactobacillus oris	-0.143700607707069
