Species1	Species2	Values
Saccharomyces cerevisiae	Lancefieldella parvula	0.176762
Saccharomyces cerevisiae	Escherichia coli	-0.136906
Saccharomyces cerevisiae	Klebsiella pneumoniae	-0.0151439
Saccharomyces cerevisiae	Salmonella enterica	-0.106
Saccharomyces cerevisiae	Polynucleobacter sp. MG-Unter2-18	0.0978502
Saccharomyces cerevisiae	Bacteroides thetaiotaomicron	0.030103
Saccharomyces cerevisiae	Bacteroides uniformis	0.162877
Saccharomyces cerevisiae	Bacteroides ovatus	0.0815989
Saccharomyces cerevisiae	Bacteroides xylanisolvens	0.0183278
Saccharomyces cerevisiae	Bacteroides caccae	0.0281548
Saccharomyces cerevisiae	Bacteroides fragilis	0.0617591
Saccharomyces cerevisiae	Phocaeicola dorei	0.162201
Saccharomyces cerevisiae	Phocaeicola vulgatus	0.0637384
Saccharomyces cerevisiae	Parabacteroides distasonis	0.0991997
Saccharomyces cerevisiae	Parabacteroides merdae	3.62837e-05
Saccharomyces cerevisiae	Alistipes onderdonkii	0.0666168
Saccharomyces cerevisiae	Alistipes shahii	0.0467931
Saccharomyces cerevisiae	Akkermansia muciniphila	0.0986784
Saccharomyces cerevisiae	uncultured human fecal virus	0.217485
Saccharomyces cerevisiae	Blautia pseudococcoides	0.109461
Saccharomyces cerevisiae	Anaerostipes caccae	-0.00947241
Saccharomyces cerevisiae	Lachnoclostridium sp. YL32	0.410639
Saccharomyces cerevisiae	Lachnoclostridium phocaeense	-0.0299479
Saccharomyces cerevisiae	Simiaoa sunii	0.00342472
Saccharomyces cerevisiae	Sellimonas intestinalis	-0.00742068
Saccharomyces cerevisiae	Dysosmobacter welbionis	0.138759
Saccharomyces cerevisiae	Clostridiaceae bacterium Marseille-Q4149	-0.0679209
Saccharomyces cerevisiae	Eubacterium sp. NSJ-61	-0.0302719
Saccharomyces cerevisiae	Massilistercora timonensis	-0.0290311
Saccharomyces cerevisiae	Clostridiales bacterium CCNA10	0.0681292
Saccharomyces cerevisiae	Geobacillus zalihae	0.145427
Saccharomyces cerevisiae	Streptococcus vestibularis	-0.0256577
Saccharomyces cerevisiae	Streptococcus sp. HSISM1	0.136907
Saccharomyces cerevisiae	Streptococcus sp. LPB0220	0.14849
Saccharomyces cerevisiae	Streptococcus sp. HSISS3	0.0282709
Saccharomyces cerevisiae	Streptococcus anginosus	0.00672948
Saccharomyces cerevisiae	Streptococcus mitis	0.103432
Saccharomyces cerevisiae	Streptococcus sanguinis	0.160563
Saccharomyces cerevisiae	Streptococcus oralis	0.0458715
Saccharomyces cerevisiae	Lactococcus lactis	-0.242298
Saccharomyces cerevisiae	Limosilactobacillus oris	0.0592351
Saccharomyces cerevisiae	Lactiplantibacillus plantarum	0.0903764
