Species1	Species2	Values
Saccharomyces cerevisiae	Collinsella aerofaciens	-0.0349188
Saccharomyces cerevisiae	Lancefieldella parvula	-0.0452559
Saccharomyces cerevisiae	Escherichia coli	0.102951
Saccharomyces cerevisiae	Klebsiella pneumoniae	0.1159
Saccharomyces cerevisiae	Salmonella enterica	-0.0813946
Saccharomyces cerevisiae	Polynucleobacter sp. MG-Unter2-18	-0.145394
Saccharomyces cerevisiae	Bacteroides thetaiotaomicron	-0.144791
Saccharomyces cerevisiae	Bacteroides uniformis	-0.105336
Saccharomyces cerevisiae	Bacteroides ovatus	-0.0650091
Saccharomyces cerevisiae	Bacteroides xylanisolvens	-0.0532071
Saccharomyces cerevisiae	Bacteroides caccae	-0.193279
Saccharomyces cerevisiae	Bacteroides fragilis	-0.0738546
Saccharomyces cerevisiae	Phocaeicola dorei	-0.329531
Saccharomyces cerevisiae	Phocaeicola vulgatus	-0.135354
Saccharomyces cerevisiae	Parabacteroides distasonis	-0.131041
Saccharomyces cerevisiae	Parabacteroides merdae	-0.0886068
Saccharomyces cerevisiae	Alistipes onderdonkii	-0.0805526
Saccharomyces cerevisiae	Alistipes shahii	-0.0745917
Saccharomyces cerevisiae	Akkermansia muciniphila	-0.089448
Saccharomyces cerevisiae	uncultured human fecal virus	0.0653868
Saccharomyces cerevisiae	Blautia pseudococcoides	-0.0503985
Saccharomyces cerevisiae	Anaerostipes caccae	0.0105521
Saccharomyces cerevisiae	Lachnoclostridium sp. YL32	-0.220821
Saccharomyces cerevisiae	Lachnoclostridium phocaeense	0.0357506
Saccharomyces cerevisiae	Simiaoa sunii	-0.060481
Saccharomyces cerevisiae	Sellimonas intestinalis	0.00998395
Saccharomyces cerevisiae	Dysosmobacter welbionis	-0.0650601
Saccharomyces cerevisiae	Clostridiaceae bacterium Marseille-Q4149	0.182972
Saccharomyces cerevisiae	Eubacterium sp. NSJ-61	0.111253
Saccharomyces cerevisiae	Massilistercora timonensis	0.0192887
Saccharomyces cerevisiae	Clostridiales bacterium CCNA10	-0.0485424
Saccharomyces cerevisiae	Geobacillus zalihae	-0.144306
Saccharomyces cerevisiae	Streptococcus vestibularis	-0.146174
Saccharomyces cerevisiae	Streptococcus sp. HSISM1	-0.127617
Saccharomyces cerevisiae	Streptococcus sp. LPB0220	-0.135289
Saccharomyces cerevisiae	Streptococcus sp. HSISS3	-0.150783
Saccharomyces cerevisiae	Streptococcus anginosus	-0.163928
Saccharomyces cerevisiae	Streptococcus mitis	0.083712
Saccharomyces cerevisiae	Streptococcus sanguinis	0.111015
Saccharomyces cerevisiae	Streptococcus oralis	0.0228797
Saccharomyces cerevisiae	Lactococcus lactis	0.287884
Saccharomyces cerevisiae	Limosilactobacillus oris	-0.094636
Saccharomyces cerevisiae	Lactiplantibacillus plantarum	-0.290433
Saccharomyces cerevisiae	Lacticaseibacillus rhamnosus	0.272025
Saccharomyces cerevisiae	Faecalibacillus intestinalis	-0.0932427
Saccharomyces cerevisiae	Catenibacterium sp. co_0103	-0.00439641
Saccharomyces cerevisiae	Bifidobacterium adolescentis	-0.0530675
Saccharomyces cerevisiae	Bifidobacterium pseudocatenulatum	0.147397
Saccharomyces cerevisiae	Bifidobacterium breve	-0.114351
Saccharomyces cerevisiae	Bifidobacterium bifidum	0.224263
Saccharomyces cerevisiae	Bifidobacterium dentium	0.0323775
Saccharomyces cerevisiae	Actinomyces sp. oral taxon 171	0.0517061
Saccharomyces cerevisiae	Actinomyces sp. oral taxon 169	-0.0297022
Saccharomyces cerevisiae	Cutibacterium acnes	0.0811701
Saccharomyces cerevisiae	Gordonibacter urolithinfaciens	-0.0770058
Saccharomyces cerevisiae	Gordonibacter pamelaeae	-0.0654042
Saccharomyces cerevisiae	Bacteroides stercoris	-0.0562443
Saccharomyces cerevisiae	Bacteroides salyersiae	-0.197324
Saccharomyces cerevisiae	Streptococcus lutetiensis	0.222454
Saccharomyces cerevisiae	Enterococcus avium	0.114118
Saccharomyces cerevisiae	Acidaminococcus intestini	-0.0458365
Saccharomyces cerevisiae	Faecalibacterium sp. IP118	-0.142297
Saccharomyces cerevisiae	Ruthenibacterium lactatiformans	-0.0498806
Saccharomyces cerevisiae	Streptococcus agalactiae	0.066474
Saccharomyces cerevisiae	Actinomyces sp. HMT 175	-0.0604396
Saccharomyces cerevisiae	Bacteroides sp. KGMB07931	-0.048077
Candida tropicalis	Homo sapiens	-0.102126
Candida tropicalis	Saccharomyces cerevisiae	-0.333321
Candida tropicalis	Candida tropicalis	0
Candida tropicalis	Candida albicans	-0.297679
Candida tropicalis	Botrytis cinerea	-0.327284
Candida tropicalis	Aspergillus oryzae	-0.00369573
Candida tropicalis	Toxoplasma gondii	-0.363255
Candida tropicalis	Trypanosoma brucei	-0.39881
Candida tropicalis	Leishmania infantum	-0.23684
Candida tropicalis	Staphylococcus aureus	-0.137138
Candida tropicalis	Streptococcus pneumoniae	-0.20594
Candida tropicalis	Streptococcus thermophilus	0.0176098
Candida tropicalis	Streptococcus sp. A12	0.0511674
Candida tropicalis	Streptococcus salivarius	-0.0440045
Candida tropicalis	Streptococcus australis	0.0642915
Candida tropicalis	Streptococcus parasanguinis	0.19362
Candida tropicalis	Lactococcus piscium	0.0202649
Candida tropicalis	Limosilactobacillus fermentum	0.0355745
Candida tropicalis	Latilactobacillus sakei	0.0438
Candida tropicalis	Leuconostoc carnosum	0.0388886
Candida tropicalis	Lactobacillus helveticus	0.0454815
Candida tropicalis	Enterococcus faecium	0.147686
Candida tropicalis	Abiotrophia defectiva	0.0749234
Candida tropicalis	Blautia wexlerae	0.0439249
Candida tropicalis	Blautia massiliensis	0.0714859
Candida tropicalis	Blautia sp. SC05B48	0.0741545
Candida tropicalis	Blautia sp. NBRC 113351	0.103873
Candida tropicalis	Blautia obeum	0.0420624
Candida tropicalis	Blautia argi	0.114749
Candida tropicalis	Blautia producta	0.109608
Candida tropicalis	uncultured Blautia sp.	0.190831
Candida tropicalis	Anaerostipes hadrus	0.0556468
Candida tropicalis	[Ruminococcus] torques	0.0594868
Candida tropicalis	[Ruminococcus] gnavus	0.117152
Candida tropicalis	[Eubacterium] rectale	0.0428579
Candida tropicalis	Roseburia intestinalis	0.0841037
Candida tropicalis	Roseburia hominis	0.0741649
Candida tropicalis	Roseburia sp. NSJ-69	0.0668862
Candida tropicalis	Anaerobutyricum hallii	0.0121007
Candida tropicalis	Coprococcus comes	0.00576909
Candida tropicalis	Coprococcus catus	0.067607
Candida tropicalis	[Clostridium] scindens	-0.0271398
Candida tropicalis	[Clostridium] symbiosum	0.202573
Candida tropicalis	[Clostridium] hylemonae	0.0929097
Candida tropicalis	Dorea longicatena	-0.030606
Candida tropicalis	Lachnospiraceae bacterium	0.110736
Candida tropicalis	Lachnospiraceae bacterium GAM79	0.135569
Candida tropicalis	Enterocloster bolteae	0.0815476
