OTUID	ODIWGS01	ODIWGS02	ODIWGS03	ODIWGS04	ODIWGS05	ODIWGS06	ODIWGS07	ODIWGS08	ODIWGS09	ODIWGS10	ODIWGS11	ODIWGS12	ODIWGS13	ODIWGS14	ODIWGS15	ODIWGS16	ODIWGS17	ODIWGS18	ODIWGS19	ODIWGS20	ODIWGS21	ODIWGS22	ODIWGS23	ODIWGS24	ODIWGS25	ODIWGS26	ODIWGS27	ODIWGS28	ODIWGS29	ODIWGS30	ODIWGS31	ODIWGS32	ODIWGS33	ODIWGS34	ODIWGS35	ODIWGS36	ODIWGS37	ODIWGS38	ODIWGS39	ODIWGS40	ODIWGS41	ODIWGS42	ODIWGS43	ODIWGS44	ODIWGS45	ODIWGS46	ODIWGS47	ODIWGS48	ODIWGS49	ODIWGS50	ODIWGS51	ODIWGS52	ODIWGS53	ODIWGS54	ODIWGS55	ODIWGS56	ODIWGS57	ODIWGS58	ODIWGS59	ODIWGS60	ODIWGS61	ODIWGS62	ODIWGS63	ODIWGS64	ODIWGS65	ODIWGS66	ODIWGS67	ODIWGS68	ODIWGS69	ODIWGS70	ODIWGS71	ODIWGS72	ODIWGS73	ODIWGS74	ODIWGS75	ODIWGS76	ODIWGS77	ODIWGS78	ODIWGS79	ODIWGS80	ODIWGS81	ODIWGS82	ODIWGS83	ODIWGS84	ODIWGS85	ODIWGS86	ODIWGS87	ODIWGS88	ODIWGS89	ODIWGS90	ODIWGS91	ODIWGS92	ODIWGS93
1.1.1.51	0	0	0	210	0	0	6	0	0	0	0	0	426	518	77	0	0	5891	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	35	0	98	58	31	0	28	8	0	0	0	40	41609	0	0	0	0	0	0	0	0	0	0	21	0	5	0	0	0	0	0	0	0	77	0	0	6	0	0	0	14	0	0	0	8	0	0	0	0	0	0	0	8	0	64	0	0	0	0
1.1.1.52	0	0	0	854	36	0	0	0	593	361	106	161	0	0	0	0	0	239	0	0	0	0	0	7	0	0	0	159	292	0	0	0	0	1070	34	0	0	747	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	0	586	0	291	0	0	153	0	0	602	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	0	31	0	0	0	2953
1.1.1.53	0	0	0	0	0	0	6	0	0	0	0	0	426	518	77	0	0	5891	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	31	0	4	8	0	0	0	40	41609	0	0	0	0	0	0	0	0	0	0	21	0	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	0	64	0	0	0	0
1.1.1.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0
1.1.1.57	0	0	0	1921	168	0	6	6	939	60	0	0	347	961	0	43	0	0	0	0	0	0	0	0	40	0	476	2965	0	0	0	0	103	0	240	5	241	173	0	0	20235	128	0	239	6	0	33	0	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	3115	5	0	37543	0	706	11	297	19	29	7769	0	0	0	0	267	6	0	12	0	0	0	311	0	0	0	152	0	0
1.1.1.58	0	0	0	4605	312	0	0	0	1263	386	0	412	2369	2137	0	603	0	15516	0	5	0	0	0	1172	68	0	1563	0	5636	0	0	0	130	22	15	0	66	9737	6202	119	14391	30	0	948	0	0	317	313	0	0	0	0	0	0	0	4	0	17582	5	11706	0	862	0	0	3979	8	5	25484	6	600	48	1215	105	162	2292	0	0	4	0	841	0	0	0	0	0	0	6888	0	5081	177	1239	0	152
1.1.1.6	6	0	4	7230	369	0	14	0	39525	16181	0	978	4221	4899	105	360	0	45437	0	4	0	33	0	100	105	15	2121	4559	16127	119	13	0	109	482	17	9	1043	61459	911	0	23477	132	0	2779	0	8	53419	0	12	0	0	7	784	11	4	0	0	40174	4	28801	0	2262	30	4	14232	12	90	68235	0	1464	100	303	0	0	5707	7	0	0	7	1710	14	11	0	20	0	19	52315	0	1194	20	729	0	1574
1.1.1.60	7	0	7	4554	218	0	0	0	5537	2247	0	220	2163	4027	0	376	5	37459	0	0	0	136	5	197	43	0	1211	730	6589	0	9	0	159	390	345	0	948	30384	1026	93	30679	171	3	1113	0	7	60831	4	0	0	0	4	0	5	6	0	81	15937	0	10814	0	1303	0	0	2270	7	692	40263	0	4469	154	264	7	0	8875	25	0	0	0	565	0	0	12	8	0	14	5945	0	1376	0	141	0	954
1.1.1.61	0	0	0	65	0	0	0	0	120	33	0	0	0	186	0	20	0	1894	0	0	0	0	0	305	0	0	0	0	253	0	0	0	0	286	0	0	0	14	1834	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	807	0	0	0	0	0	0	0	58	0	0	0	417	0	20	0	0	0	0	0	0	0	0	0	0	0	0	333	0	2134	0	0	0	605
1.1.1.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
