CARD	ODIWGS86	ODIWGS87	ODIWGS88	ODIWGS89	ODIWGS10	ODIWGS11	ODIWGS12	ODIWGS13	ODIWGS14	ODIWGS15	ODIWGS16	ODIWGS17	ODIWGS30	ODIWGS18	ODIWGS31	ODIWGS32	ODIWGS19	ODIWGS33	ODIWGS34	ODIWGS35	ODIWGS36	ODIWGS50	ODIWGS37	ODIWGS51	ODIWGS38	ODIWGS52	ODIWGS39	ODIWGS53	ODIWGS54	ODIWGS55	ODIWGS56	ODIWGS70	ODIWGS57	ODIWGS71	ODIWGS58	ODIWGS72	ODIWGS59	ODIWGS73	ODIWGS74	ODIWGS75	ODIWGS76	ODIWGS90	ODIWGS77	ODIWGS91	ODIWGS78	ODIWGS92	ODIWGS79	ODIWGS93	ODIWGS01	ODIWGS02	ODIWGS03	ODIWGS04	ODIWGS05	ODIWGS06	ODIWGS07	ODIWGS20	ODIWGS08	ODIWGS21	ODIWGS09	ODIWGS22	ODIWGS23	ODIWGS24	ODIWGS25	ODIWGS26	ODIWGS40	ODIWGS27	ODIWGS41	ODIWGS28	ODIWGS42	ODIWGS29	ODIWGS43	ODIWGS44	ODIWGS45	ODIWGS46	ODIWGS60	ODIWGS47	ODIWGS61	ODIWGS48	ODIWGS62	ODIWGS49	ODIWGS63	ODIWGS64	ODIWGS65	ODIWGS66	ODIWGS80	ODIWGS67	ODIWGS81	ODIWGS68	ODIWGS82	ODIWGS69	ODIWGS83	ODIWGS84	ODIWGS85
dfrA20 [ARO:3003016]	0	2056	0	88	257	0	16	53	31	0	17	0	0	159	1	0	0	3	26	6	0	1	1	0	381	0	107	5	0	0	0	0	0	1	260	25	0	0	4	0	0	0	0	23	0	0	2	114	0	0	0	103	12	0	1	0	3	0	576	0	0	15	1	0	0	48	0	25	0	135	0	8	0	1	330	127	0	0	18	0	0	0	272	0	8	0	0	126	1	3	0	0	0
apmA [ARO:3003918]	0	1	0	75	9	0	0	1	1	0	0	0	0	113	0	0	0	7	17	0	0	0	0	0	9	0	65	0	0	0	0	0	0	0	16	34	0	0	0	0	0	0	0	2	0	0	0	54	0	0	0	19	3	6	0	0	0	0	96	0	0	5	0	0	0	15	0	0	0	16	0	11	0	0	6	0	0	0	3	0	0	0	0	0	5	0	0	28	0	0	0	0	0
marA [ARO:3000263]	0	770	0	394	49	0	7	31	28	1	21	0	0	89	1	0	0	21	31	5	0	0	26	0	40	0	259	44	6	0	0	67	0	1	97	29	4	0	0	213	0	0	0	35	0	0	1	77	0	9	0	168	0	0	0	0	0	0	163	1	0	64	1	0	0	32	850	56	0	36	0	10	6	0	107	4	0	0	1	0	0	0	79	0	4	0	0	1298	0	1	1	0	0
ACT-35 [ARO:3001855]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	111	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	148	0	0	0	0	0
AAC(6')-Iaf [ARO:3002574]	0	2	0	5	26	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	36	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
MCR-3.28 [ARO:3007270]	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
OXA-438 [ARO:3003594]	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	28	1	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0
AcrS [ARO:3000656]	0	53	0	11	39	0	7	2	8	1	32	0	0	22	0	0	0	0	22	0	0	0	12	0	13	0	45	2	0	0	0	127	0	30	25	19	1	0	0	488	0	0	0	19	1	0	0	59	0	0	0	178	4	0	0	1	0	0	50	0	0	3	1	0	0	7	755	133	5	1	0	0	5	0	1	9	0	0	1	0	0	0	20	0	15	2	0	1123	0	0	1	0	0
AAC(6')-Isa [ARO:3002563]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vanT_in_vanE_cl [ARO:3002971]	1	1259	0	656	201	10	0	100	55	0	4	0	19	314	1	0	0	2	127	2	0	0	1	0	1134	0	512	0	0	1	0	24	0	1	391	196	0	0	5	54	0	0	0	5	0	0	1	375	1	0	0	99	29	0	0	0	0	0	485	17	0	83	0	0	0	75	62	153	4	248	0	115	0	0	336	642	0	2	31	0	0	0	360	1	43	0	0	466	2	1	0	0	1
